Impulz; Pulz/Sekunda; uSv/h; Pulz/Minuta; Sekunda měření; % do konce
322; 1.02; 0.387; 61.42; 314.5; 0.524
323; 1.02; 0.3867; 61.39; 315.7; 0.526
324; 1.02; 0.3865; 61.35; 316.9; 0.528
325; 1.02; 0.3861; 61.29; 318.2; 0.53
326; 1.02; 0.3871; 61.44; 318.4; 0.531
327; 1.02; 0.3874; 61.49; 319.1; 0.532
328; 1.03; 0.3879; 61.58; 319.6; 0.533
329; 1.03; 0.3882; 61.62; 320.4; 0.534
330; 1.03; 0.3887; 61.7; 320.9; 0.535
331; 1.03; 0.3899; 61.88; 320.9; 0.535
332; 1.03; 0.3892; 61.78; 322.4; 0.537
333; 1.03; 0.39; 61.91; 322.7; 0.538
334; 1.03; 0.391; 62.07; 322.9; 0.538
335; 1.04; 0.392; 62.23; 323.0; 0.538
336; 1.03; 0.3904; 61.97; 325.3; 0.542
337; 1.02; 0.3874; 61.49; 328.8; 0.548
338; 1.03; 0.3884; 61.65; 329.0; 0.548
339; 1.03; 0.3886; 61.68; 329.7; 0.55
340; 1.02; 0.3854; 61.17; 333.5; 0.556
341; 1.02; 0.3843; 60.99; 335.4; 0.559
342; 1.02; 0.3837; 60.9; 336.9; 0.562
343; 1.02; 0.3847; 61.07; 337.0; 0.562
344; 1.02; 0.385; 61.12; 337.7; 0.563
345; 1.01; 0.3827; 60.75; 340.7; 0.568
346; 1.01; 0.3833; 60.84; 341.2; 0.569
347; 1.02; 0.3837; 60.91; 341.8; 0.57
348; 1.01; 0.3832; 60.82; 343.3; 0.572
349; 1.02; 0.3841; 60.97; 343.4; 0.572
350; 1.02; 0.3851; 61.13; 343.5; 0.573
351; 1.01; 0.3819; 60.61; 347.4; 0.579
352; 1.01; 0.3814; 60.54; 348.9; 0.581
353; 1.0; 0.3798; 60.29; 351.3; 0.585
354; 1.0; 0.3787; 60.11; 353.3; 0.589
355; 1.0; 0.3778; 59.97; 355.2; 0.592
356; 1.0; 0.3787; 60.12; 355.3; 0.592
357; 1.0; 0.3786; 60.09; 356.4; 0.594
358; 1.0; 0.3778; 59.96; 358.2; 0.597
359; 1.0; 0.3784; 60.06; 358.6; 0.598
360; 1.0; 0.3792; 60.19; 358.9; 0.598
361; 1.01; 0.38; 60.31; 359.1; 0.599
362; 1.0; 0.3798; 60.29; 360.3; 0.6
363; 1.0; 0.3798; 60.28; 361.3; 0.602
364; 1.01; 0.3805; 60.4; 361.6; 0.603
365; 1.01; 0.3813; 60.52; 361.8; 0.603
366; 1.01; 0.3809; 60.46; 363.2; 0.605
367; 1.01; 0.3815; 60.56; 363.6; 0.606
368; 1.01; 0.3817; 60.59; 364.4; 0.607
369; 1.01; 0.3822; 60.67; 365.0; 0.608
370; 1.01; 0.3826; 60.73; 365.6; 0.609
371; 1.01; 0.3825; 60.71; 366.6; 0.611
372; 1.01; 0.381; 60.48; 369.0; 0.615
373; 1.01; 0.3801; 60.34; 370.9; 0.618
374; 1.01; 0.3808; 60.44; 371.3; 0.619
375; 1.01; 0.381; 60.48; 372.1; 0.62
376; 1.01; 0.3818; 60.61; 372.2; 0.62
377; 1.01; 0.3824; 60.71; 372.6; 0.621
378; 1.01; 0.3829; 60.78; 373.2; 0.622
379; 1.01; 0.3834; 60.86; 373.6; 0.623
380; 1.01; 0.383; 60.79; 375.0; 0.625
381; 1.01; 0.3827; 60.74; 376.4; 0.627
382; 1.01; 0.3834; 60.85; 376.7; 0.628
383; 1.01; 0.3834; 60.86; 377.6; 0.629
384; 1.01; 0.3835; 60.87; 378.5; 0.631
385; 1.02; 0.384; 60.96; 378.9; 0.632
386; 1.02; 0.3847; 61.06; 379.3; 0.632
387; 1.02; 0.3852; 61.15; 379.7; 0.633
388; 1.02; 0.3851; 61.12; 380.9; 0.635
389; 1.02; 0.3857; 61.23; 381.2; 0.635
390; 1.02; 0.386; 61.27; 381.9; 0.637
391; 1.02; 0.3846; 61.05; 384.3; 0.641
392; 1.02; 0.3848; 61.08; 385.1; 0.642
393; 1.02; 0.3839; 60.94; 386.9; 0.645
394; 1.02; 0.3839; 60.93; 388.0; 0.647
395; 1.02; 0.3838; 60.93; 389.0; 0.648
396; 1.02; 0.3847; 61.06; 389.1; 0.649
397; 1.02; 0.3855; 61.19; 389.3; 0.649
398; 1.02; 0.3857; 61.22; 390.1; 0.65
399; 1.02; 0.384; 60.96; 392.7; 0.655
400; 1.01; 0.3821; 60.65; 395.7; 0.66
401; 1.01; 0.3812; 60.51; 397.7; 0.663
402; 1.01; 0.3813; 60.52; 398.5; 0.664
403; 1.01; 0.3822; 60.67; 398.6; 0.664
404; 1.01; 0.383; 60.79; 398.8; 0.665
405; 1.01; 0.3828; 60.76; 399.9; 0.667
406; 1.01; 0.3832; 60.82; 400.5; 0.668
407; 1.01; 0.3835; 60.87; 401.2; 0.669
408; 1.01; 0.3836; 60.89; 402.0; 0.67
409; 1.01; 0.3806; 60.41; 406.2; 0.677
410; 1.01; 0.3815; 60.55; 406.3; 0.677
411; 1.0; 0.379; 60.16; 409.9; 0.683
412; 1.0; 0.3796; 60.25; 410.3; 0.684
413; 1.01; 0.3801; 60.33; 410.7; 0.685
414; 1.0; 0.3794; 60.21; 412.5; 0.688
415; 1.01; 0.38; 60.32; 412.8; 0.688
416; 1.01; 0.3804; 60.38; 413.4; 0.689
417; 1.0; 0.3798; 60.28; 415.1; 0.692
418; 1.01; 0.3799; 60.31; 415.9; 0.693
419; 1.01; 0.3803; 60.36; 416.5; 0.694
420; 1.01; 0.3805; 60.4; 417.2; 0.695
421; 1.01; 0.3806; 60.42; 418.1; 0.697
422; 1.0; 0.3788; 60.13; 421.1; 0.702
423; 1.0; 0.3793; 60.21; 421.5; 0.703
424; 1.01; 0.3802; 60.35; 421.6; 0.703
425; 1.01; 0.3811; 60.49; 421.6; 0.703
426; 1.01; 0.3813; 60.52; 422.3; 0.704
427; 1.01; 0.3821; 60.65; 422.4; 0.704
428; 1.01; 0.3829; 60.79; 422.5; 0.704
429; 1.01; 0.3825; 60.71; 424.0; 0.707
430; 1.01; 0.3819; 60.63; 425.6; 0.709
